"","parameter","index","simulation_value","IQR_min","IQR50_lower","IQR50_upper","mean","median","sd","n_series","n_observations","mean_IQR","mean_sd","model"
"887","alpha","12",1.3358461259265,1,2.09492717265366,2.42179526391603,2.26855975781858,2.24914849413979,0.242366576167734,20,10,0.7835,0.242366576167734,"pooled"
"888","alpha","13",1.26065346152701,1,2.09492717265366,2.42179526391603,2.26855975781858,2.24914849413979,0.242366576167734,20,10,0.7835,0.242366576167734,"pooled"
"889","alpha","14",2.47363189397763,0.62,2.09492717265366,2.42179526391603,2.26855975781858,2.24914849413979,0.242366576167734,20,10,0.7835,0.242366576167734,"pooled"
"890","alpha","15",2.7288812299606,0.92,2.09492717265366,2.42179526391603,2.26855975781858,2.24914849413979,0.242366576167734,20,10,0.7835,0.242366576167734,"pooled"
"891","alpha","16",2.08203787470506,0.54,2.09492717265366,2.42179526391603,2.26855975781858,2.24914849413979,0.242366576167734,20,10,0.7835,0.242366576167734,"pooled"
"892","alpha","17",2.35923066005771,0.35,2.09492717265366,2.42179526391603,2.26855975781858,2.24914849413979,0.242366576167734,20,10,0.7835,0.242366576167734,"pooled"
"893","alpha","18",3.60684068928858,1,2.09492717265366,2.42179526391603,2.26855975781858,2.24914849413979,0.242366576167734,20,10,0.7835,0.242366576167734,"pooled"
"894","alpha","19",3.75178254942103,1,2.09492717265366,2.42179526391603,2.26855975781858,2.24914849413979,0.242366576167734,20,10,0.7835,0.242366576167734,"pooled"
"895","alpha","20",1.38392877794641,1,2.09492717265366,2.42179526391603,2.26855975781858,2.24914849413979,0.242366576167734,20,10,0.7835,0.242366576167734,"pooled"
"896","sigma","1",0.25,0.49,0.24314476596214,0.503155236419422,0.369435422739978,0.384053281061333,0.174395228520198,20,10,0.49,0.174395228520198,"pooled"
"897","sigma","2",0.25,0.49,0.24314476596214,0.503155236419422,0.369435422739978,0.384053281061333,0.174395228520198,20,10,0.49,0.174395228520198,"pooled"
"898","sigma","3",0.25,0.49,0.24314476596214,0.503155236419422,0.369435422739978,0.384053281061333,0.174395228520198,20,10,0.49,0.174395228520198,"pooled"
"899","sigma","4",0.25,0.49,0.24314476596214,0.503155236419422,0.369435422739978,0.384053281061333,0.174395228520198,20,10,0.49,0.174395228520198,"pooled"
"900","sigma","5",0.25,0.49,0.24314476596214,0.503155236419422,0.369435422739978,0.384053281061333,0.174395228520198,20,10,0.49,0.174395228520198,"pooled"
"901","sigma","6",0.25,0.49,0.24314476596214,0.503155236419422,0.369435422739978,0.384053281061333,0.174395228520198,20,10,0.49,0.174395228520198,"pooled"
"902","sigma","7",0.25,0.49,0.24314476596214,0.503155236419422,0.369435422739978,0.384053281061333,0.174395228520198,20,10,0.49,0.174395228520198,"pooled"
"903","sigma","8",0.25,0.49,0.24314476596214,0.503155236419422,0.369435422739978,0.384053281061333,0.174395228520198,20,10,0.49,0.174395228520198,"pooled"
"904","sigma","9",0.25,0.49,0.24314476596214,0.503155236419422,0.369435422739978,0.384053281061333,0.174395228520198,20,10,0.49,0.174395228520198,"pooled"
"905","sigma","10",0.25,0.49,0.24314476596214,0.503155236419422,0.369435422739978,0.384053281061333,0.174395228520198,20,10,0.49,0.174395228520198,"pooled"
